iter	Passed	Remaining
0	78	39203
1	140	3500622	206	3415233	262	3254944	322	3197555	379	31277
6	435	30666
7	497	30571
8	557	30438
9	617	30267
10	669	29781
11	731	29734
12	788	29538
13	846	29376
14	907	29334
15	963	29138
16	1030	29275
17	1085	29065
18	1142	28919
19	1151	27627220	1209	27577221	1269	27582222	1329	27581223	1388	27544
24	1435	27225	25	1460	26626	26	1520	26627	27	1581	26628	28	1646	26729	29	1702	26630	30	1762	26631	1830	26768
32	1889	26737
33	33	1934	26534	34	2000	26535	35	2052	26436	36	2105	26337	37	2173	26438	38	2244	26528339	2300	26461440	2364	26476441	2427	26469442	2491	26474443	2550	26429444	2614	26431
45	2672	26376
46	2732	26339
47	2803	26404
48	2866	26379
49	2926	26338
50	2991	26336
51	3046	26249
52	3109	26227
53	3178	26254
54	3240	26217
55	3299	26164
56	3355	26078
57	3409	25983
58	3465	25901
59	3522	25830
60	3570	25696
61	3627	25628
62	3651	25331
63	3712	25293
64	3715	24863
65	3775	24827
66	3835	24788
67	3899	24774
68	3965	24768
69	4019	24692
70	4086	24692
71	4151	24677
72	4215	24656
73	4281	24645
74	4339	24589
75	4396	24525
76	4454	24468
77	4517	24440
78	4586	24444
79	4648	24404
80	4703	24330
81	4767	24303
82	4769	23961
83	4830	23924
84	4908	23963
85	4973	23944
86	5035	23906
87	5099	23875
88	5164	23847
89	5171	23559
90	5181	23287
91	5246	23267
92	5249	22974
93	5313	22951
94	5380	22936
95	5443	22907
96	5502	22862
97	5557	22796
98	5608	22715
99	5661	22645
100	5723	22609
101	5793	22606
102	5851	22554
103	5916	22529
104	5985	22517
105	6039	22447
106	6113	22455
107	6170	22395
108	6231	22352
109	6294	22316
110	6344	22232
111	6401	22176
112	6455	22107
113	6511	22048
114	6571	22001
115	6624	21927
116	6694	21914
117	6753	21863
118	6816	21825
119	6878	21782
120	6943	21749
121	7001	21693
122	7066	21658
123	7118	21584
124	7174	21524
125	7230	21460
126	7236	21252
127	7285	21174
128	7341	21114
129	7397	21054
130	7457	21007
131	7516	20954
132	7575	20903
133	7631	20843
134	7687	20784
135	7746	20732
136	7798	20662
137	7860	20618
138	7922	20575
139	7979	20518
140	8043	20480
141	8103	20429
142	8161	20375
143	8213	20306
144	8236	20165
145	8293	20109
146	8344	20038
147	8403	19986
148	8453	19914
149	8510	19858
150	8570	19808
151	8624	19744
152	8684	19696
153	8753	19667
154	8813	19616
155	8865	19549
156	8921	19491
157	8980	19438
158	9041	19390
159	9104	19346
160	9106	19174
161	9166	19124
162	9227	19077
163	9280	19012
164	9339	18961
165	9392	18898
166	9451	18847
167	9509	18792
168	9565	18733
169	9612	18658
170	9670	18605
171	9727	18550
172	9783	18493
173	9852	18460
174	9912	18409
175	9974	18361
176	10037	18316
177	10101	18272
178	10157	18215
179	10211	18153
180	10279	18116
181	10331	18051
182	10389	17997
183	10447	17941
184	10505	17888
185	10568	17841
186	10626	17786
187	10686	17734
188	10745	17682
189	10799	17620
190	10864	17576
191	10925	17525
192	10987	17477
193	11044	17421
194	11101	17363
195	11160	17310
196	11162	17168
197	11219	17113
198	11274	17053
199	11338	17008
200	11403	16963
201	11460	16907
202	11517	16850
203	11570	16788
204	11626	16731
205	11688	16681
206	11746	16626
207	11806	16574
208	11865	16521
209	11922	16464
210	11983	16414
211	12045	16364
212	12100	16303
213	12155	16244
214	12212	16188
215	12264	16125
216	12320	16068
217	12382	16018
218	12441	15963
219	12504	15914
220	12561	15857
221	12622	15806
222	12675	15745
223	12732	15687
224	12783	15623
225	12845	15573
226	12901	15515
227	12964	15465
228	13026	15416
229	13091	15367
230	13144	15307
231	13207	15256
232	13268	15204
233	13323	15145
234	13387	15097
235	13452	15048
236	13513	14995
237	13571	14940
238	13629	14883
239	13633	14770
240	13695	14718
241	13752	14661
242	13812	14608
243	13872	14555
244	13931	14500
245	13988	14443
246	14035	14376
247	14092	14319
248	14148	14262
249	14208	14208
250	14263	14150
251	14312	14084
252	14367	14026
253	14419	13965
254	14484	13916
255	14535	13854
256	14599	13804
257	14655	13746
258	14723	13700
259	14783	13645
260	14845	13593
261	14899	13534
262	14954	13475
263	15015	13422
264	15072	13366
265	15124	13305
266	15182	13249
267	15243	13195
268	15306	13144
269	15360	13085
270	15415	13026
271	15479	12975
272	15541	12922
273	15600	12867
274	15664	12816
275	15725	12762
276	15782	12705
277	15847	12654
278	15906	12599
279	15963	12542
280	16025	12489
281	16081	12431
282	16146	12381
283	16207	12326
284	16259	12265
285	16325	12215
286	16378	12155
287	16441	12102
288	16503	12049
289	16565	11995
290	16634	11946
291	16706	11900
292	16773	11850
293	16841	11800
294	16906	11748
295	16974	11698
296	17038	11646
297	17101	11591
298	17171	11543
299	17221	11480
300	17277	11422
301	17340	11369
302	17405	11316
303	17494	11279
304	17559	11226
305	17618	11170
306	17688	11120
307	17744	11061
308	17801	11003
309	17853	10942
310	17919	10890
311	17976	10831
312	18044	10780
313	18099	10721
314	18167	10669
315	18168	10579
316	18225	10521
317	18290	10468
318	18353	10413
319	18418	10360
320	18486	10308
321	18544	10251
322	18601	10193
323	18656	10134
324	18718	10079
325	18772	10019
326	18801	9947
327	18864	9892
328	18927	9837
329	18993	9784
330	19047	9724
331	19096	9663
332	19154	9605
333	19207	9546
334	19209	9461
335	19273	9407
336	19333	9351
337	19401	9298
338	19461	9242
339	19527	9189
340	19587	9133
341	19652	9079
342	19713	9023
343	19768	8964
344	19820	8904
345	19878	8847
346	19931	8788
347	19988	8730
348	20046	8673
349	20098	8613
350	20166	8560
351	20226	8504
352	20292	8450
353	20353	8394
354	20414	8338
355	20477	8283
356	20527	8222
357	20583	8164
358	20646	8109
359	20702	8050
360	20771	7997
361	20833	7942
362	20900	7888
363	20960	7831
364	21020	7774
365	21085	7719
366	21140	7661
367	21205	7606
368	21268	7550
369	21326	7493
370	21389	7437
371	21452	7381
372	21519	7327
373	21580	7270
374	21637	7212
375	21702	7157
376	21764	7101
377	21827	7044
378	21884	6986
379	21941	6928
380	22002	6872
381	22057	6813
382	22123	6758
383	22185	6701
384	22246	6645
385	22296	6585
386	22353	6526
387	22416	6470
388	22482	6415
389	22535	6356
390	22600	6300
391	22655	6241
392	22717	6185
393	22774	6127
394	22834	6069
395	22902	6014
396	22966	5958
397	23033	5903
398	23093	5845
399	23154	5788
400	23221	5732
401	23282	5675
402	23287	5605
403	23341	5546
404	23400	5488
405	23457	5431
406	23522	5374
407	23580	5317
408	23636	5258
409	23696	5201
410	23754	5143
411	23813	5086
412	23868	5027
413	23915	4968
414	23977	4911
415	23982	4842
416	24038	4784
417	24099	4727
418	24160	4670
419	24220	4613
420	24278	4555
421	24340	4498
422	24404	4442
423	24456	4383
424	24458	4316
425	24511	4257
426	24571	4200
427	24628	4143
428	24686	4085
429	24739	4027
430	24790	3968
431	24847	3911
432	24908	3854
433	24968	3796
434	25029	3740
435	25089	3682
436	25144	3624
437	25206	3568
438	25274	3511
439	25335	3454
440	25336	3389
441	25389	3331
442	25442	3273
443	25499	3216
444	25561	3159
445	25617	3101
446	25671	3043
447	25731	2986
448	25789	2929
449	25860	2873
450	25919	2816
451	25974	2758
452	26037	2701
453	26098	2644
454	26157	2587
455	26159	2524
456	26217	2466
457	26282	2410
458	26342	2353
459	26405	2296
460	26474	2239
461	26534	2182
462	26600	2125
463	26660	2068
464	26720	2011
465	26783	1954
466	26845	1897
467	26902	1839
468	26963	1782
469	27023	1724
470	27027	1664
471	27086	1606
472	27140	1549
473	27199	1491
474	27256	1434
475	27311	1377
476	27362	1319
477	27423	1262
478	27487	1205
479	27542	1147
480	27588	1089
481	27645	1032
482	27704	975
483	27754	917
484	27807	860
485	27858	802
486	27902	744
487	27941	687
488	27985	629
489	27986	571
490	28023	513
491	28065	456
492	28095	398
493	28125	341
494	28154	284
495	28183	227
496	28212	170
497	28242	113
498	28271	56
499	28301	0
