Model,CV_Score_Mean,CV_Score_Std
ET_n100_dNone,0.8536456136929557,0.010194215699598944
KNN_k9_distance,0.8536456136929557,0.010194215699598944
"MLP_(100,)_a0.01",0.8536456136929557,0.010194215699598944
KNN_k15_distance,0.8536456136929557,0.010194215699598944
RF_n200_dNone,0.8536456136929557,0.010194215699598944
DT_depthNone_entropy,0.8536456136929557,0.010194215699598944
"MLP_(100,)_a0.001",0.8536456136929557,0.010194215699598944
"MLP_(100,)_a0.0001",0.8536456136929557,0.010194215699598944
"MLP_(50,)_a0.01",0.8536456136929557,0.010194215699598944
"MLP_(50,)_a0.001",0.8536456136929557,0.010194215699598944
"MLP_(50,)_a0.0001",0.8536456136929557,0.010194215699598944
SVC_linear_C1,0.8536456136929557,0.010194215699598944
SVC_linear_C5,0.8536456136929557,0.010194215699598944
SVC_rbf_C5,0.8536456136929557,0.010194215699598944
SVC_poly_C5,0.8536456136929557,0.010194215699598944
SVC_linear_C10,0.8536456136929557,0.010194215699598944
SVC_rbf_C10,0.8536456136929557,0.010194215699598944
SVC_poly_C10,0.8536456136929557,0.010194215699598944
ET_n400_dNone,0.8536456136929557,0.010194215699598944
LinearSVC_C1,0.8536456136929557,0.010194215699598944
LinearSVC_C5,0.8536456136929557,0.010194215699598944
LinearSVC_C10,0.8536456136929557,0.010194215699598944
RF_n400_dNone,0.8536456136929557,0.010194215699598944
KNN_k11_distance,0.8536456136929557,0.010194215699598944
DT_depthNone_gini,0.8536456136929557,0.010194215699598944
ET_n200_dNone,0.8536456136929557,0.010194215699598944
KNN_k7_distance,0.8536456136929557,0.010194215699598944
"MLP_(100, 50)_a0.01",0.8536456136929557,0.010194215699598944
KNN_k5_distance,0.8536456136929557,0.010194215699598944
LogReg_C5_liblinear,0.8536456136929557,0.010194215699598944
KNN_k3_distance,0.8536456136929557,0.010194215699598944
LogReg_C5_lbfgs,0.8536456136929557,0.010194215699598944
LogReg_C10_liblinear,0.8536456136929557,0.010194215699598944
LogReg_C10_lbfgs,0.8536456136929557,0.010194215699598944
RidgeClf_alpha1.0,0.8536456136929557,0.010194215699598944
RidgeClf_alpha0.5,0.8536456136929557,0.010194215699598944
SGD_alpha0.0001,0.8536456136929557,0.010194215699598944
"MLP_(100, 50)_a0.001",0.8536456136929557,0.010194215699598944
"MLP_(100, 50)_a0.0001",0.8536456136929557,0.010194215699598944
"MLP_(50, 50)_a0.01",0.8534808112104665,0.010249990831190534
"MLP_(50, 50)_a0.0001",0.8533207265844561,0.01038228684836314
"MLP_(50, 50)_a0.001",0.853316628393794,0.010315733506451976
RF_n100_dNone,0.8527653777626188,0.010758336760149846
AdaBoost_n200,0.8274034991733739,0.010347448714661533
AdaBoost_n100,0.8151186377542465,0.0061897639896697455
KNN_k5_uniform,0.8138463009868948,0.011775264522782526
AdaBoost_n50,0.8067747106236609,0.0037004615798489813
RidgeClf_alpha2.0,0.8062685721849194,0.0013839558758009637
SVC_poly_C1,0.8057272684036269,0.0019063188413727095
KNN_k3_uniform,0.8051931389665812,0.0013723943923018148
KNN_k7_uniform,0.8046518351852887,0.0015613814049110022
DT_depth12_entropy,0.8046518351852885,0.001561381404911002
MultinomialNB,0.804650552719635,0.0010803844227993999
DT_depth12_gini,0.8041099418949689,0.0016240717041042607
DT_depth3_entropy,0.8041099418949689,0.0016240717041042607
CAT_n200_d6,0.8041092489383426,0.0010650202112211112
CAT_n200_d10,0.8041092489383426,0.0010650202112211112
CAT_n500_d6,0.8041092489383426,0.0010650202112211112
CAT_n500_d10,0.8041092489383426,0.0010650202112211112
LogReg_C1_liblinear,0.8041092489383426,0.0010650202112211112
SGD_alpha0.001,0.8041092489383426,0.0010650202112211112
LinearSVC_C0.1,0.8041092489383426,0.0010650202112211112
RF_n100_d15,0.80356794515705,0.00071783426520896
XGB_n500_d6,0.80356794515705,0.00071783426520896
KNN_k11_uniform,0.80356794515705,0.00071783426520896
KNN_k9_uniform,0.80356794515705,0.00071783426520896
SGD_alpha0.1,0.80356794515705,0.00071783426520896
SGD_alpha0.01,0.80356794515705,0.00071783426520896
LogReg_C1_lbfgs,0.80356794515705,0.00071783426520896
XGB_n200_d3,0.80356794515705,0.00071783426520896
XGB_n200_d6,0.80356794515705,0.00071783426520896
XGB_n200_d10,0.80356794515705,0.00071783426520896
XGB_n500_d3,0.80356794515705,0.00071783426520896
LGBM_n200_d3,0.80356794515705,0.00071783426520896
XGB_n500_d10,0.80356794515705,0.00071783426520896
DT_depth3_gini,0.80356794515705,0.00071783426520896
LGBM_n200_d6,0.80356794515705,0.00071783426520896
LGBM_n200_d10,0.80356794515705,0.00071783426520896
LGBM_n500_d3,0.80356794515705,0.00071783426520896
LGBM_n500_d6,0.80356794515705,0.00071783426520896
LGBM_n500_d10,0.80356794515705,0.00071783426520896
CAT_n200_d3,0.80356794515705,0.00071783426520896
LogReg_C0.1_lbfgs,0.80356794515705,0.00071783426520896
CAT_n500_d3,0.80356794515705,0.00071783426520896
LogReg_C0.1_liblinear,0.80356794515705,0.00071783426520896
KNN_k15_uniform,0.80356794515705,0.00071783426520896
DT_depth5_gini,0.80356794515705,0.00071783426520896
ET_n100_d15,0.80356794515705,0.00071783426520896
DT_depth5_entropy,0.80356794515705,0.00071783426520896
ET_n100_d8,0.80356794515705,0.00071783426520896
RF_n100_d8,0.80356794515705,0.00071783426520896
RF_n200_d8,0.80356794515705,0.00071783426520896
ET_n200_d8,0.80356794515705,0.00071783426520896
RF_n200_d15,0.80356794515705,0.00071783426520896
ET_n200_d15,0.80356794515705,0.00071783426520896
LogReg_C0.01_lbfgs,0.80356794515705,0.00071783426520896
RF_n400_d8,0.80356794515705,0.00071783426520896
ET_n400_d8,0.80356794515705,0.00071783426520896
RF_n400_d15,0.80356794515705,0.00071783426520896
ET_n400_d15,0.80356794515705,0.00071783426520896
GB_n100_lr0.01,0.80356794515705,0.00071783426520896
GB_n200_lr0.01,0.80356794515705,0.00071783426520896
GB_n100_lr0.05,0.80356794515705,0.00071783426520896
GB_n200_lr0.05,0.80356794515705,0.00071783426520896
GB_n100_lr0.1,0.80356794515705,0.00071783426520896
GB_n200_lr0.1,0.80356794515705,0.00071783426520896
SVC_rbf_C1,0.80356794515705,0.00071783426520896
SVC_poly_C0.1,0.80356794515705,0.00071783426520896
SVC_rbf_C0.1,0.80356794515705,0.00071783426520896
SVC_linear_C0.1,0.80356794515705,0.00071783426520896
DT_depth8_entropy,0.80356794515705,0.00071783426520896
DT_depth8_gini,0.80356794515705,0.00071783426520896
LogReg_C0.01_liblinear,0.80356794515705,0.00071783426520896
